category,date,name,source,website
Unlicensed entities,2005-11-09,Pinnacle Global Corporation,sfc,www.pinnacleglobalcorp.com
Suspicious websites,2005-11-01,Hong Kong and Shanghai Securities Ltd,sfc,www.hkssl-uk.com
Unlicensed entities,2005-12-02,Fong & Marcus Mergers and Acquisitions,sfc,www.fongma.com
Unlicensed entities,,Gather Business Forex Investments Limited,sfc,www.f-easy.com
Unlicensed entities,,Brinks Holdings Limited,sfc,
Unlicensed entities,2005-12-06,FX Millenia Limited,sfc,www.fxmillenia.com
Unlicensed entities,,Firstmax Trading Limited,sfc,
Unlicensed entities,2005-12-08,Yinkou Securities Co. Ltd.,sfc,www.yinkou.com
Unlicensed entities,2005-12-08,Holdings Universal,sfc,www.holdingsuniversal.com
Unlicensed entities,,China Union Group Limited,sfc,
Unlicensed entities,,Wang Lee Mergers & Acquisitions,sfc,
Unlicensed entities,,Schwartz Woodman,sfc,www.schwartzwoodman.com
Unlicensed entities,,Irving Horowitz Mergers and Acquisitions,sfc,
Unlicensed entities,2005-12-19,Zeus Enterprises,sfc,www.zeus-enterprises.com
Unlicensed entities,,Magnusson Edward,sfc,www.magnussonedward.com
Unlicensed entities,2005-12-29,Olympia Corporate Services,sfc,www.olympiacorpserv.com
Unlicensed entities,,Edenville Consultancy Limited,sfc,www.edenvilleurope.com
Unlicensed entities,,Argus International Limited,sfc,
Unlicensed entities,,TGF Management Services Inc.,sfc,
Unlicensed entities,,General Traders,sfc,
Unlicensed entities,,Yamaichi Investments Ltd,sfc,www.yiltd.com
Unlicensed entities,,"Hamilton, Gardiner & Associates",sfc,
Unlicensed entities,2006-01-17,Nakamura Capital Group,sfc,www.nakamuracapital.net
Unlicensed entities,2006-01-23,Forex & Futures International Limited,sfc,www.ffiltd.com/index.asp
Unlicensed entities,,Tri Guard Holdings Limited,sfc,
Unlicensed entities,,Swift Asset Management Ltd.,sfc,www.samhk.com
Unlicensed entities,2006-02-01,Riverton Financial Group,sfc,www.rivertonfinancialgroup.com
Unlicensed entities,,Transglobal Financial Ltd,sfc,
Unlicensed entities,,e.gotrade,sfc,
Unlicensed entities,2006-02-20,Magna Capital Research,sfc,www.magnacapitalresearch.com
Unlicensed entities,,Nova Corporate Services,sfc,
Suspicious websites,2006-02-21,APTFund,sfc,www.aptfund.com
Unlicensed entities,,Innova Equity,sfc,
Unlicensed entities,2006-02-27,Donavan & Yung Partners,sfc,www.donavanyung.com
Unlicensed entities,2006-03-02,Sino Options Trading Limited,sfc,www.sino-options.com
Unlicensed entities,2006-03-21,World Trade Financial Group,sfc,www.worldtradefinancialgroup.com
Unlicensed entities,,Legacy Holdings International Ltd.,sfc,
Unlicensed entities,,Concordant Group Ltd.,sfc,www.concordantgrouplimited.com
Unlicensed entities,,Safecoe Holdings International Ltd.,sfc,
Suspicious websites,,Gramax Investment Club Limited,sfc,www.gramaxinvestmentclub.com
Unlicensed entities,2006-05-16,Charles Fleming Co Ltd,sfc,www.charlesfleming.net
Unlicensed entities,2006-05-19,Bidvsask Investment Limited,sfc,www.bidvask.com
Unlicensed entities,,China Cosmos Investments Limited,sfc,
Unlicensed entities,,F-Easy Investments Co,sfc,www.f-easy.com
Unlicensed entities,2006-06-01,Stonewell Finance,sfc,www.stonewellfinance.com
Suspicious websites,2006-06-06,Swisscash,sfc,www.swisscash.biz
Unlicensed entities,,American Energy Exchange (AMENX),sfc,www.amenx.com
Unlicensed entities,,Gordon Stanford Acquisitions,sfc,
Unlicensed entities,,York Commodities,sfc,www.york-commodities.com
Unlicensed entities,2006-07-11,Morgan&Bonds,sfc,www.morganbonds.com
Unlicensed entities,2006-07-11,Cooper&Price,sfc,www.cooperprice.com
Suspicious websites,,www.fortiswm.com,sfc,
Unlicensed entities,,Global Market Group LLC,sfc,
Unlicensed entities,,Global Market Group Limited,sfc,
Unlicensed entities,2006-08-01,Masters & Bettman,sfc,www.mastersbettman.com
Unlicensed entities,2006-08-08,Abbey House Acquisitions,sfc,www.abbeyhouseacquisitions.com
Unlicensed entities,,Link Mergers & Acquisitions,sfc,
Unlicensed entities,2006-08-10,Imperial Trust LLC,sfc,www.imperialtrustllc.com
Unlicensed entities,2006-08-10,International Securities Tax Commission,sfc,www.istcommission.us
Unlicensed entities,2006-09-05,The Xenon Group,sfc,www.thexenoncompany.com
Unlicensed entities,2006-09-05,P E Hess / Phillip Edward Hess,sfc,www.pehess.com
Unlicensed entities,2006-09-11,Warren Group,sfc,www.warrengroupusa.net
Unlicensed entities,2006-10-26,Jameson West Associates Ltd,sfc,www.jamesonwest.com
Unlicensed entities,2006-11-06,Honesty International Holdings Limited,sfc,www.hih168.com
Unlicensed entities,,Gateway Corporate Services Limited,sfc,
Unlicensed entities,2006-11-09,Hero Elegant Global Services Limited,sfc,www.heroglobal.com.cn
Unlicensed entities,2006-11-14,Merchant Lerner & Associates,sfc,www.merchantlerner.com
Unlicensed entities,,The Tidal Group,sfc,
Unlicensed entities,2006-11-15,Newman Bell Mergers & Acquisitions,sfc,www.newmanbell.com
Unlicensed entities,2006-12-12,Hong Kong International Trading Corporation,sfc,www.intertradehongkong.com
Unlicensed entities,2007-01-03,Alpinai Investments,sfc,www.alpinai.com
Unlicensed entities,2007-03-05,Good Credit Assets Management Consultant Co.,sfc,www.esmartzbiz.com/services
Unlicensed entities,2007-03-05,Trilliongold International Resources,sfc,www.esmartzbiz.com/services
Suspicious websites,,Impex Consult Financial & Consulting Group,sfc,www.consult-im.biz
Unlicensed entities,2007-03-05,Trilliongold Resources Sdn Bhd,sfc,www.esmartzbiz.com/services
Unlicensed entities,,Olympia King Wealth Group,sfc,www.olympiaking.com
Unlicensed entities,2007-03-27,Shixin Investments Holdings Ltd,sfc,www.sihfx.com
Unlicensed entities,2007-05-08,Grand Capital Incorporated,sfc,www.grandcapinc.com
Unlicensed entities,,Stratford International Limited,sfc,
Unlicensed entities,,Sinoclear Trading Limited,sfc,
Unlicensed entities,,Harvard Moore Pte Ltd,sfc,
Unlicensed entities,,State Capital Limited,sfc,
Unlicensed entities,,Prime Source Limited,sfc,
Unlicensed entities,,McBain Baxter Holdings Pte Ltd,sfc,
Unlicensed entities,,Leberman Steine Limited,sfc,
Unlicensed entities,,Balesc Holdings Limited,sfc,
Unlicensed entities,,Montesiore & Lutz Limited,sfc,www.montesoirelutz.com
Unlicensed entities,,Asiaclear Trading Limited,sfc,
Unlicensed entities,,Pollack Quinn,sfc,
Unlicensed entities,,The Roth Group Limited,sfc,
Unlicensed entities,,Phoenix Biologicals Limited,sfc,
Unlicensed entities,,Phoenix Biologicals Inc. Ltd,sfc,
Unlicensed entities,,Carver Brooks and Associates Limited,sfc,www.carver-brooks.com
Unlicensed entities,,Nelson Burke Holdings Limited,sfc,
Unlicensed entities,,Jade Dragon Fund Limited,sfc,
Unlicensed entities,,Cromwell Associates Pte Ltd,sfc,
Unlicensed entities,,Global Wealth Corporation Limited,sfc,
Unlicensed entities,,Yardly Holdings Limited,sfc,
Unlicensed entities,,Valesc Holdings Limited,sfc,
Unlicensed entities,,Premium Placements Holdings Limited,sfc,
Unlicensed entities,,Morley Thompson,sfc,
Unlicensed entities,,The Danier Group Limited,sfc,
Unlicensed entities,,Winsdor Capital Limited,sfc,
Unlicensed entities,,Ashton Trading Worldwide Limited,sfc,
Unlicensed entities,,Apex Trade Group Pte Ltd,sfc,
Unlicensed entities,,Crown Lane Limited,sfc,
Unlicensed entities,,Warner Beck Pte Ltd,sfc,
Unlicensed entities,,Art Max Technology Limited,sfc,
Unlicensed entities,,Wessner Group Limited,sfc,
Unlicensed entities,,World Ever International Limited,sfc,
Unlicensed entities,2007-06-12,Bauer Associates,sfc,www.bauerassociates.biz
Unlicensed entities,2007-05-28,Eaton Capital Americas,sfc,www.eatoncapitalamericas.com
Unlicensed entities,2007-06-20,Global Commerce International Limited,sfc,http://globalcommercefx.com
Unlicensed entities,,Eagle Faith Corporation Limited,sfc,
Unlicensed entities,,Brentwood Group Limited,sfc,
Unlicensed entities,2007-07-04,Assets Brokerage Network,sfc,www.abn-group.com
Unlicensed entities,2007-07-16,International Wealth Management,sfc,www.iwmhk.com
